n,block_size,time_sec,gflop,gflop_s,memory_mb 
200,8,0.018937,0.016,0.8449,0.92
200,16,0.000481,0.016,33.2381,0.92
200,32,0.000476,0.016,33.5841,0.92
400,8,0.001001,0.128,127.9304,3.66
400,16,0.000907,0.128,141.1682,3.66
400,32,0.000999,0.128,128.1435,3.66
800,8,0.004796,1.024,213.4970,14.65
800,16,0.004667,1.024,219.4231,14.65
800,32,0.005527,1.024,185.2613,14.65
1200,8,0.015003,3.456,230.3484,32.96
1200,16,0.015004,3.456,230.3351,32.96
1200,32,0.015177,3.456,227.7179,32.96
1600,8,0.035148,8.192,233.0724,58.59
1600,16,0.034679,8.192,236.2203,58.59
1600,32,0.034886,8.192,234.8208,58.59
2000,8,0.066354,16.000,241.1297,91.55
2000,16,0.064326,16.000,248.7311,91.55
2000,32,0.065245,16.000,245.2279,91.55
